065252.00	11421.34775	3031.68155	0.710	105.54
065253.00	11421.34775	3031.68142	0.338	
065254.00	11421.34782	3031.68125	0.735	124.10
065255.00	11421.34786	3031.68093	1.197	155.59
065256.00	11421.34790	3031.68083	0.004	
065257.00	11421.34793	3031.68063	0.883	154.73
065258.00	11421.34813	3031.68029	1.610	143.02
065259.00	11421.34836	3031.67982	1.977	148.72
065300.00	11421.34852	3031.67933	1.809	154.03
065301.00	11421.34867	3031.67882	1.902	156.96
065302.00	11421.34890	3031.67833	1.827	156.05
065303.00	11421.34908	3031.67784	1.952	159.83
065304.00	11421.34926	3031.67730	2.072	159.06
065305.00	11421.34937	3031.67673	2.282	163.46
065306.00	11421.34947	3031.67613	2.274	165.16
065307.00	11421.34960	3031.67558	2.044	162.16
065308.00	11421.34979	3031.67504	2.184	160.45
065309.00	11421.34994	3031.67447	2.251	163.11
065310.00	11421.35000	3031.67391	1.917	166.54
065311.00	11421.35021	3031.67349	1.755	157.03
065312.00	11421.35067	3031.67320	1.925	136.90
065313.00	11421.35118	3031.67293	2.014	128.78
065314.00	11421.35149	3031.67269	1.032	129.77
065315.00	11421.35180	3031.67237	1.807	132.73
065316.00	11421.35206	3031.67210	1.258	134.38
065317.00	11421.35240	3031.67189	1.595	124.19
065318.00	11421.35282	3031.67173	1.420	118.79
065319.00	11421.35326	3031.67159	1.642	110.88
065320.00	11421.35373	3031.67148	1.583	108.98
065321.00	11421.35435	3031.67129	2.361	108.03
065322.00	11421.35510	3031.67109	2.597	107.05
065323.00	11421.35580	3031.67084	2.349	110.45
065324.00	11421.35644	3031.67059	2.228	110.35
065325.00	11421.35702	3031.67034	1.979	112.30
065326.00	11421.35767	3031.67013	2.289	109.71
065327.00	11421.35824	3031.66984	2.023	113.16
065328.00	11421.35887	3031.66961	2.366	112.37
065329.00	11421.35951	3031.66935	2.183	113.35
065330.00	11421.36009	3031.66909	2.187	114.71
065331.00	11421.36056	3031.66879	1.824	116.80
065332.00	11421.36104	3031.66851	1.904	116.72
065333.00	11421.36167	3031.66831	2.233	110.26
065334.00	11421.36229	3031.66820	2.031	104.09
065335.00	11421.36290	3031.66810	2.158	103.01
065336.00	11421.36352	3031.66788	2.250	108.18
065337.00	11421.36417	3031.66761	2.363	110.94
065338.00	11421.36479	3031.66732	2.231	113.72
065339.00	11421.36539	3031.66709	2.034	112.90
065340.00	11421.36607	3031.66689	2.334	109.65
065341.00	11421.36670	3031.66664	2.058	111.55
065342.00	11421.36741	3031.66646	2.413	107.37
065343.00	11421.36815	3031.66625	2.327	111.31
065344.00	11421.36885	3031.66595	2.344	114.28
065345.00	11421.36950	3031.66562	2.236	118.55
065346.00	11421.37016	3031.66535	2.214	116.04
065347.00	11421.37077	3031.66513	2.081	113.05
065348.00	11421.37134	3031.66487	2.076	112.76
065349.00	11421.37185	3031.66456	1.901	116.66
065350.00	11421.37215	3031.66417	1.542	129.70
065351.00	11421.37211	3031.66385	1.093	158.33
065352.00	11421.37188	3031.66345	1.834	197.63
065353.00	11421.37156	3031.66302	1.763	206.61
065354.00	11421.37110	3031.66259	2.236	218.07
065355.00	11421.37069	3031.66210	2.141	218.22
065356.00	11421.37034	3031.66163	1.765	215.26
065357.00	11421.37020	3031.66109	2.125	205.79
065358.00	11421.37018	3031.66050	2.075	192.00
065359.00	11421.37039	3031.66003	1.828	167.04
065400.00	11421.37070	3031.65963	1.799	159.17
065401.00	11421.37111	3031.65924	1.903	143.53
065402.00	11421.37157	3031.65895	1.730	133.85
065403.00	11421.37210	3031.65872	1.957	122.43
065404.00	11421.37269	3031.65864	1.943	106.07
065405.00	11421.37339	3031.65862	2.300	95.31
065406.00	11421.37406	3031.65856	1.874	95.70
065407.00	11421.37445	3031.65872	1.387	86.48
065408.00	11421.37483	3031.65892	1.480	71.09
065409.00	11421.37525	3031.65911	1.699	65.66
065410.00	11421.37559	3031.65958	2.181	47.45
065411.00	11421.37606	3031.65994	1.843	47.18
065412.00	11421.37634	3031.66031	1.671	40.55
065413.00	11421.37663	3031.66079	1.996	31.34
065414.00	11421.37670	3031.66126	2.123	25.44
